A0,23,00101000101010010001110
B0,25,0100101101101101001101101
C0,43,0011110111001011011000101110101111010111110
A1,41,11001001110011001111110000111000101011000
B1,27,111111001100101110010111111
C1,47,11000110100110100001001101110011101111100111100
A2,51,001101101011010010000001100001111001011110001011001
B2,61,1100101000010000111110111100000011000001101001101010011101001
C2,17,10001101100111000
A3,67,0100101100011110001000011110010101010001101001001111000111101101001
B3,19,1111101101101000101
C3,71,00010111001010010100100000110101101010100111010011101111010000100101000
A4,21,001011011100100110000
B4,37,0011111110011100010101110011111101110
C4,32,10110011000101000011101011111110
A5,29,11101101111100001001001110100
B5,13,1101110011011
C5,35,11111111100101100001010001110101101
